category      count  postdate    writer      title                                                                   summary                                                                                                                                         link
----------  -------  ----------  ----------  ----------------------------------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------
good           7035  2018.10.10  뉴스1       文대통령 "음주운전, 실수로 인식하는 문화 끝내야…처벌 강화"              문재인 대통령.(청와대 제공) 2018.9.3/뉴스1(서울=뉴스1) 조소영 기자 = 문재인 대통령이 10일 음주운전에 …                                          /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003628678
good           1331  2018.10.10  뉴스1       文대통령 "국회, 기본책무 다해주길…음주운전 처벌은 강화"(종합)           문재인 대통령.(청와대 페이스북) 2018.8.27/뉴스1(서울=뉴스1) 홍기삼 기자,조소영 기자,최은지 기자 = 문재인 대통령이 10일 오전 10시 청와대 여민…   /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003629035
good            996  2018.10.10  동아일보    홍준표 “文정권, 반미(反美)로 돌아서…트럼프, 韓 좌파 정권 못 믿게 됐다”  [동아닷컴]사진=자유한국당 홍준표 대표. 동아일보DB자유한국당 홍준표 전 대표는 10일 “문재인 정권은 북·중·러 사회주의 동맹에 가담함으로써 반…      /main/ranking/read.nhn?rankingType=popular_like&oid=020&aid=0003173859
good            726  2018.10.10  연합뉴스    '제주 국제관함식' 46개국 참여속 개막…日·中 함정 안보내                  12개국서 함정 19척 보내…美 항모 로널드레이건호 참여中,자국사정 이유·日, 욱일기 논란속 함정 파견않기로 결정11일 해상사열·12일 서태평양해군…      /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010390092
good            419  2018.10.09  오마이뉴스  이언주 "이해찬 두려워... 시대착오적 좌파들 퇴출시켜야"                  "민주당 집권세력은 김정은 독재정권이 동지, 남한 보수가 주적인 모양"[오마이뉴스 이정환 기자] ▲  2017년 9월 13일, 이언주 당시 국민의당 의원이 …   /main/ranking/read.nhn?rankingType=popular_like&oid=047&aid=0002205418
good            403  2018.10.10  중앙일보    방탄소년단, ‘한국그룹 최초’로 아메리칸 뮤직어워즈 수상                  방탄소년단(BTS)이 미국 뉴욕의 시티필드에서 '러브 유어셀프'(Love Yourself) 북미투어의 대미를 장식하는 피날레 공연을 하고 있다. […                /main/ranking/read.nhn?rankingType=popular_like&oid=025&aid=0002855248
good            345  2018.10.10  연합뉴스    2차 북미정상회담 美중간선거 이후로…"후보지 3∼4곳 검토 중"(종합3보)      트럼프, 기자들에 "지금 당장 어렵다…11월6일 선거 이후 열릴 것" 밝혀'셔틀외교' 가능성 시사 주목…"결국 북미 오가며 회담하게 될 것"비핵화 부진…     /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010389301
good            330  2018.10.10  이데일리    윤여준 “전원책 ‘칼자루’, 허세…총선서 50석 어렵단 말도”                  [이데일리 신태현 기자]윤여준 전 환경부 장관[이데일리 김미영 기자] 윤여준 전 환경부 장관은 10일 전원책 변호사가 합류해 곧 새 출범할 자유한국당…  /main/ranking/read.nhn?rankingType=popular_like&oid=018&aid=0004220584
good            322  2018.10.10  YTN         [좋은뉴스] 음악이 선물한 위로...'고마워요 방탄소년단'                   몸과 마음이 지쳤을 때 음악처럼 위로가 되는 것도 없죠.자폐증 아들을 둔 엄마가 방탄소년단 노래에 큰 위로를 받았다는 사연이 화제를 모으고 있습니…  /main/ranking/read.nhn?rankingType=popular_like&oid=052&aid=0001201881
good            299  2018.10.10  연합뉴스    트럼프 "2차 북미정상회담, 11월 중간선거 이후 열릴 것"                   지원유세 앞서 기자들에 밝혀…"지금 당장 갈수 없다"[AP=연합뉴스](서울=연합뉴스) 이윤영 기자 = 도널드 트럼프 미국 대통령은 9일(현지시간) 2차 …     /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010389100
warm             84  2018.10.10  뉴스1       文대통령 "음주운전, 실수로 인식하는 문화 끝내야…처벌 강화"              문재인 대통령.(청와대 제공) 2018.9.3/뉴스1(서울=뉴스1) 조소영 기자 = 문재인 대통령이 10일 음주운전에 …                                          /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003628678
warm             51  2018.10.10  한국경제TV  하나금투 "엑소(EXO), 왕의 귀환…에스엠 최대 실적 이끈다"                 [한국경제TV 방서후 기자]하나금융투자는 에스엠에 대해 4분기 엑소(EXO) 등 주력 아티스트들의 컴백으로 인한 최대 실적이 전망된다며 투자의견 매…     /main/ranking/read.nhn?rankingType=popular_like&oid=215&aid=0000689387
warm             34  2018.10.10  국민일보    [아직 살만한 세상] 목마른 개를 위해 할아버지가 한 행동 (영상)           Pamela Altamirano Sanchez 페이스북 캡처나보다 약한 존재를 위해 기꺼이 자신의 허리를 굽힐 수 있는 사람이 이 세상에 얼마나 될까요. 우리는…        /main/ranking/read.nhn?rankingType=popular_like&oid=005&aid=0001138127
warm             29  2018.10.10  연합뉴스    한국 조선, 9월에도 선박수주 1위…남은 일감도 2천만CGT 넘겨               조선업[연합뉴스TV 제공]    (서울=연합뉴스) 정성호 기자 = 한국 조선업계가 9월에도 전 세계 선박 수주 시장에서 1위를 유지했다. 수주 잔량도 1년 …   /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010389255
warm             19  2018.10.10  연합뉴스    "스리랑카인에게 뒤집어씌우지 마세요"…들끓는 여론                        '고양 저유소 화재' 구속영장 신청에 책임 소재 '논란'[청와대 국민청원게시판 갈무리](고양=연합뉴스) 권숙희 기자 = "책임을 져야 하는 사람이, 구속…  /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010389057
