category      count  postdate    writer        title                                                               summary                                                                                                                                         link
----------  -------  ----------  ------------  ------------------------------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------
good           4370  2018.10.05  뉴시스        일본, '욱일기' 논란에 자위함 한국 관함식 파견 취소                  【서울=뉴시스】<사진 출처 : 日 지지통신> 2018.10.5【서울=뉴시스】이재준 기자 = 일본 정부는 5일 일본 …                                           /main/ranking/read.nhn?rankingType=popular_like&oid=003&aid=0008839480
good           3728  2018.10.05  뉴스1         이명박 1심 징역 15년·벌금 130억…"다스는 MB 것"(종합)                이명박 전 대통령. (뉴스1 DB) 2018.10.5/뉴스1(서울=뉴스1) 문창석 기자,윤지원 기자 = 다스 비자금 횡령·뇌물수수 등 혐의로 재판에 넘겨진 이명박…    /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003621895
good           3270  2018.10.05  JTBC          [속보] 일본, 제주 국제관함식에 함정 불참 통보                       일본 해상 자위대가 오는 10일부터 열리는 제주 국제관함식에 함정을 보내기로 한 계획을 취소하겠다고 우리 측에 통보해온 것으로 알려졌습니다.정부 …  /main/ranking/read.nhn?rankingType=popular_like&oid=437&aid=0000192920
good           2287  2018.10.05  연합뉴스      노벨평화상에 무퀘게·무라드…"전쟁 성폭력 종식 노력에 기여"(3보)      민주콩고 의사 무퀘게, 내전 속 성폭력 피해여성 돌보고 재활 도와IS 성노예 피해자 무라드는 IS 만행 폭로한 여성 인권운동가노벨평화상 수상자노벨…    /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010381968
good           1844  2018.10.05  파이낸셜뉴스  文지지율 64% 상승세 탔다...자영업자도 '지지 급선회'                 문재인 대통령. 연합뉴스        문재인 대통령 지지율이 상승 기류를 제대로 탔다. 이번 주 한국갤럽 조사에서도 60%대 고…                            /main/ranking/read.nhn?rankingType=popular_like&oid=014&aid=0004103869
good           1816  2018.10.05  연합뉴스      노벨평화상에 무퀘게·무라드…"전쟁 성폭력 종식 노력에 기여"(종합)     민주콩고 의사 무퀘게, 내전 속 성폭력 피해여성 돌보고 재활 도와성노예 피해자 무라드는 IS의 만행 폭로한 야지디족 여성 인권운동가노벨평화상 수…    /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010382056
good           1339  2018.10.05  뉴스1         이명박 1심 징역 15년·벌금 130억…"공직 신뢰 무너뜨려"                이명박 전 대통령이 지난 6월 19일 오전 서울 서초구 서울중앙지방법원에서 열린 특정범죄가중처벌법상 뇌물 등 6회 공판에 출석하는 모습. (뉴스1 DB…   /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003621852
good           1063  2018.10.05  연합뉴스      노벨평화상에 콩고의사 무퀘게와 IS만행 고발 무라드(2보)              2018 노벨평화상(PG)[연합뉴스 자료사진](서울=연합뉴스) 강건택 기자 = 올해 노벨평화상의 영예는 콩고민주공화국의 성폭력 피해 여성을 도운 의사 …    /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010381920
good           1045  2018.10.05  뉴스1         '다스 횡령·뇌물' 이명박 전 대통령 1심 징역 15년(속보)               이명박 전 대통령이 지난 6월 19일 오전 서울 서초구 서울중앙지방법원에서 열린 특정범죄가중처벌법상 뇌물 등 6회 공판에 출석하는 모습. (뉴스1 DB…   /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003621831
good            911  2018.10.05  국민일보      “기적의 3분” 하나님 음성에 강진 피한 여객기 기장                    리코스타 마펠라 인스타그램 캡처인도네시아 여객기 기장이 예정된 비행 스케줄 보다 먼저 비행기를 이륙시키며 강진의 재앙으로부터 140여명의 승객…    /main/ranking/read.nhn?rankingType=popular_like&oid=005&aid=0001136742
warm            109  2018.10.05  연합뉴스      노벨평화상에 무퀘게·무라드…"전쟁 성폭력 종식 노력에 기여"(3보)      민주콩고 의사 무퀘게, 내전 속 성폭력 피해여성 돌보고 재활 도와IS 성노예 피해자 무라드는 IS 만행 폭…                                             /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010381968
warm             69  2018.10.05  연합뉴스      노벨평화상에 무퀘게·무라드…"전쟁 성폭력 종식 노력에 기여"(종합)     민주콩고 의사 무퀘게, 내전 속 성폭력 피해여성 돌보고 재활 도와성노예 피해자 무라드는 IS의 만행 폭로한 야지디족 여성 인권운동가노벨평화상 수…    /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010382056
warm             65  2018.10.05  뉴스1         이명박 1심 징역 15년·벌금 130억…"다스는 MB 것"(종합)                이명박 전 대통령. (뉴스1 DB) 2018.10.5/뉴스1(서울=뉴스1) 문창석 기자,윤지원 기자 = 다스 비자금 횡령·뇌물수수 등 혐의로 재판에 넘겨진 이명박…    /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003621895
warm             61  2018.10.05  연합뉴스      노벨평화상에 콩고의사 무퀘게와 IS만행 고발 무라드(2보)              2018 노벨평화상(PG)[연합뉴스 자료사진](서울=연합뉴스) 강건택 기자 = 올해 노벨평화상의 영예는 콩고민주공화국의 성폭력 피해 여성을 도운 의사 …    /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010381920
warm             49  2018.10.05  뉴시스        [종합2보]'다스 실소유' 이명박 징역 15년…MB측 "대단히 실망"          【서울=뉴시스】안지혜 기자 = 349억원대 다스 횡령 및 110억원대 뇌물수수 혐의로 기소된 이명박 전 대통령에게 징역 15년 및 벌금 130억원이 선고됐…   /main/ranking/read.nhn?rankingType=popular_like&oid=003&aid=0008839977
warm             43  2018.10.05  뉴시스        일본, '욱일기' 논란에 자위함 한국 관함식 파견 취소                  【서울=뉴시스】<사진 출처 : 日 지지통신> 2018.10.5【서울=뉴시스】이재준 기자 = 일본 정부는 5일 일본 제국주의 상징인 '욱일승천기' 게양 논란을 …  /main/ranking/read.nhn?rankingType=popular_like&oid=003&aid=0008839480
warm             35  2018.10.05  뉴스1         '다스 횡령·뇌물' 이명박 전 대통령 1심 징역 15년(속보)               이명박 전 대통령이 지난 6월 19일 오전 서울 서초구 서울중앙지방법원에서 열린 특정범죄가중처벌법상 뇌물 등 6회 공판에 출석하는 모습. (뉴스1 DB…   /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003621831
warm             29  2018.10.05  JTBC          [속보] 일본, 제주 국제관함식에 함정 불참 통보                       일본 해상 자위대가 오는 10일부터 열리는 제주 국제관함식에 함정을 보내기로 한 계획을 취소하겠다고 우리 측에 통보해온 것으로 알려졌습니다.정부 …  /main/ranking/read.nhn?rankingType=popular_like&oid=437&aid=0000192920
warm             22  2018.10.05  뉴스1         이명박 1심 징역 15년·벌금 130억…"공직 신뢰 무너뜨려"                이명박 전 대통령이 지난 6월 19일 오전 서울 서초구 서울중앙지방법원에서 열린 특정범죄가중처벌법상 뇌물 등 6회 공판에 출석하는 모습. (뉴스1 DB…   /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003621852
warm             20  2018.10.05  국민일보      “기적의 3분” 하나님 음성에 강진 피한 여객기 기장                    리코스타 마펠라 인스타그램 캡처인도네시아 여객기 기장이 예정된 비행 스케줄 보다 먼저 비행기를 이륙시키며 강진의 재앙으로부터 140여명의 승객…    /main/ranking/read.nhn?rankingType=popular_like&oid=005&aid=0001136742
