category      count  postdate    writer      title                                                                summary                                                                                                                                         link
----------  -------  ----------  ----------  -------------------------------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------
good           1413  2018.09.13  JTBC        세금 올리고 대출 조이고…9·13대책 "집은 한 채만" 메시지               [앵커]정부가 예고했던 부동산 종합대책이 오늘(13일) 발표됐습니다. 이번에는 국토부 장관이 아니라 김동연…                                          /main/ranking/read.nhn?rankingType=popular_like&oid=437&aid=0000191425
good           1307  2018.09.13  오마이뉴스  김무성 "오만한 임종석 국회 모독, 대통령이 야단쳐야"                  정치분야 대정부 질문에서 '일장 연설'... "소득주도 성장은 태어나지 말았어야 할 괴물"[오마이뉴스 글:이주연, 사진:유성호] ▲  김무성 자유한국당 …   /main/ranking/read.nhn?rankingType=popular_like&oid=047&aid=0002202823
good           1173  2018.09.13  SBS 뉴스    복잡한 9·13 대책…1주택자·2주택자 세금 얼마나 오르나                  <앵커>정부 발표 내용 들어보셨는데 생소한 부동산 용어도 꽤 있어서 지금까지는 내가 종부세를 내지 않았는데 앞으로 내야 하는 것인지, 또 아니면 앞…  /main/ranking/read.nhn?rankingType=popular_like&oid=055&aid=0000674441
good            906  2018.09.13  데일리안    정용기 "드루킹 조작정권" 발언에 본회의장 '술렁'                      정용기 "文정권이 통계조작도 모자라 조작예산조작정권은 필연적으로 역사의 심판받을 것"정용기 자유한국당 의원이 13일 오후 국회 본회의장에서 이낙…  /main/ranking/read.nhn?rankingType=popular_like&oid=119&aid=0002281916
good            881  2018.09.13  연합뉴스    2022년까지 소방관 2만명 충원…'1인 소방대' 사라진다                   최선을 다해(충주=연합뉴스) 김형우 기자 = 11일 오전 충북 충주종합경기장에서 열린 전국의용소방대기술경연 호스 끌기 종목에 참가한 의용소방대원이…  /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010341848
good            853  2018.09.13  JTBC        '빚내서 한 채 더 사기' 원천봉쇄…대출 규제 어떻게?                    [앵커]이번 9·13 대책 가운데 대출 규제 부분은 시장의 예상을 뛰어넘는, 강도 높은 돈줄죄기다 이런 평가가 나오고 있습니다. 집이 있는 사람과 집이…   /main/ranking/read.nhn?rankingType=popular_like&oid=437&aid=0000191426
good            694  2018.09.13  연합뉴스    종부세 올리고 돈줄 조인다…투트랙 대응이 투기열풍 잠재울까            다주택자 세금 부담 늘려 기대심리 줄이고 투기자금 유입 차단전문가 "다주택자 세금 회피 차단…이미 오른 가격에 미치는 영향 제한적"(서울·세종=연…    /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010341594
good            636  2018.09.13  연합뉴스    [9·13대책] 서울에 집 한채라도 있으면 'LTV 0%'…초고강도 대출규제      무주택자도 대출로 고가주택 투자금지…"금융을 투기에 이용 말라는 것"임대업·전세대출까지 돈줄 온통 조여…"대출규제, 집값 못잡아" 회의론도(서울…     /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010341576
good            606  2018.09.13  연합뉴스TV  윤곽 드러나는 수행단…4대그룹 총수 방북 가능성                        윤곽 드러나는 수행단…4대그룹 총수 방북 가능성[앵커] 다음 주 평양 남북정상회담의 우리 측 수행단 윤곽이 점차 드러나고 있습니다. 경제계 인사로…    /main/ranking/read.nhn?rankingType=popular_like&oid=422&aid=0000338243
good            556  2018.09.13  KBS 뉴스    ‘부동산·고용’ 대책은? 김동연 경제부총리에게 듣는다                   [앵커] 오늘 대책은 김동연 경제부총리가 나서서 직접 발표했습니다. 최근 부동산 시장 상황을 정부가 그만큼 엄중하게 보고 있다는 뜻이기도 합니다.…   /main/ranking/read.nhn?rankingType=popular_like&oid=056&aid=0010620244
warm             39  2018.09.13  TV조선      '판결 불만' 中 50대, 광장서 SUV로 광란 질주…11명 사망                [앵커]중국의 한 광장에서는 SUV차량이 사람들에게 돌진해 11명이 숨지고 수십명이 다치는 일이 벌어졌습니…                                           /main/ranking/read.nhn?rankingType=popular_like&oid=448&aid=0000252223
warm             38  2018.09.13  국민일보    [아직 살만한 세상] “베트남 남매 도와준 박태환 닮은 청년을 찾습니다”  게티이미지뱅크베트남에서 온 남매가 어느 친절한 한국인을 찾고 있습니다. 9일 온라인 커뮤니티에 “한국말이 서툴어 친구가 대신 써주고 있다”고 시작…  /main/ranking/read.nhn?rankingType=popular_like&oid=005&aid=0001131192
warm             23  2018.09.13  중앙일보    구하라, 남자친구와 다투다 경찰 출동…'쌍방 폭행' 주장                 구하라. [사진 일간스포츠]                    걸그룹 카라 출신 방송인 구하라(27)씨가 남자친구를 폭행한 혐의로 경찰 조사를 받는다.   …            /main/ranking/read.nhn?rankingType=popular_like&oid=025&aid=0002849726
warm             20  2018.09.13  JTBC        세금 올리고 대출 조이고…9·13대책 "집은 한 채만" 메시지               [앵커]정부가 예고했던 부동산 종합대책이 오늘(13일) 발표됐습니다. 이번에는 국토부 장관이 아니라 김동연 부총리가 직접 나섰는데, 그래서인지 강도…  /main/ranking/read.nhn?rankingType=popular_like&oid=437&aid=0000191425
warm             17  2018.09.13  SBS 뉴스    복잡한 9·13 대책…1주택자·2주택자 세금 얼마나 오르나                  <앵커>정부 발표 내용 들어보셨는데 생소한 부동산 용어도 꽤 있어서 지금까지는 내가 종부세를 내지 않았는데 앞으로 내야 하는 것인지, 또 아니면 앞…  /main/ranking/read.nhn?rankingType=popular_like&oid=055&aid=0000674441
warm             16  2018.09.13  조선일보    경찰 "구하라 남자친구 폭행 혐의로 조사"                              가수 구하라(27)가 ‘남자친구’를 폭행해 경찰이 조사에 나섰다.가수 구하라. /스포츠조선서울 강남경찰서는 13일 "자신이 ‘구하라 남자친구’라 주장하…   /main/ranking/read.nhn?rankingType=popular_like&oid=023&aid=0003398585
warm             14  2018.09.13  뉴스1       ‘애완견 때문에’…결혼 1년만에 아내 살해한 남편 징역 16년              (인천=뉴스1) 박아론 기자 = 인천지법 형사12부(재판장 이영광)는 13일 애완견 문제로 다투다 아내를 흉기로 수차례 찔러 숨지게 한 혐의(살인)로 기소…  /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003588255
