category      count  postdate    writer        title                                                           summary                                                                                                                                         link
----------  -------  ----------  ------------  --------------------------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------
good           3529  2018.09.26  서울신문      문 대통령 “통일 대박 얘기하던 사람들, 정권 바뀌니 비난”         [서울신문]조국·김경수·박주민 페이스북에통일 경제적 가치 논하던 매체 비판문 대통령, 미 폭스 뉴스채널…                                            /main/ranking/read.nhn?rankingType=popular_like&oid=081&aid=0002944984
good           1960  2018.09.26  동아일보      文대통령 “내가 북한 편? 前정부서 ‘통일 대박’ 선전했던 분들이…”  [동아닷컴](출처 : 청와대 제공)문재인 대통령이 “비핵화 협상을 함에 있어서 한국이나 미국은 전혀 손해 볼 것이 없다”고 강조했다.유엔총회 참석차 …   /main/ranking/read.nhn?rankingType=popular_like&oid=020&aid=0003171559
good           1831  2018.09.26  뉴시스        '노무현재단' 신임 이사장에 유시민 작가 내정                     【서울=뉴시스】유시민 작가. 2018.06.27. (사진=뉴시스 DB)【서울=뉴시스】박영주 기자 = '사람사는세상 노무현재단'의 신임 이사장에 유시민 작가가…   /main/ranking/read.nhn?rankingType=popular_like&oid=003&aid=0008825432
good           1451  2018.09.26  파이낸셜뉴스  화해치유재단 사실상 해산… 文정부, 위안부 문제 해법은?           일본군 위안부 피해자 할머니가 27…                                                                                                               /main/ranking/read.nhn?rankingType=popular_like&oid=014&aid=0004099528
good           1413  2018.09.26  뉴스1         2차 북미회담·종전선언 공식화…文대통령 방미성과                  문재인 대통령과 도널드 트럼프 미국 대통령이 24일 오후(현지시간) 미국 뉴욕 롯데뉴욕팰리스호텔 허버드룸에서 열린 한미정상회담에서 대화를 나누고…  /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003607468
good           1051  2018.09.26  뉴스1         文대통령 '한일 투트랙'…화해치유재단 해산·대북 긴밀공조          © News1 이은주 디자이너(서울=뉴스1) 배상은 기자 = 문재인 대통령이 아베 신조 일본 총리에게 위안부 화해치유재단 해산을 사실상 통보하는 등 과거…   /main/ranking/read.nhn?rankingType=popular_like&oid=421&aid=0003607187
good            878  2018.09.26  머니투데이    文의 북핵 외교전…협상의 확신, 우려의 불식, 수단은 경제          [머니투데이 최경민, 뉴욕=김성휘  기자] [[the300]트럼프와 회담, 美 3대 싱크탱크 접촉, 보수 방송 인터뷰의 의미]【뉴욕=뉴시스】박진희 기자 = 문…   /main/ranking/read.nhn?rankingType=popular_like&oid=008&aid=0004110221
good            867  2018.09.26  연합뉴스      북미정상회담 '빅딜' 가시권…北 영변폐기에 美 상응조치가 관건     각론 합의가 관건…핵신고-종전선언 보다 큰틀서 북미합의 시도할듯 文대통령 거론 北사찰단 수용-美평양연락사무소 설치 교환될지 주목 유엔서 연설하…   /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010364436
good            741  2018.09.26  세계일보      [단독] 친박 의원 6명, 황교안에 한국당 대표 출마 권유            "보수 구심점 돼 달라" 전대 출마 요청에 "경선 과정 상처 우려" 즉답 피해"황 전 총리, 대권 도전 의지는 분명…입장 발표 시기 놓고 고심하는 눈치"…    /main/ranking/read.nhn?rankingType=popular_like&oid=022&aid=0003306337
