category      count  postdate    writer      title                                                                       summary                                                                                                                                         link
----------  -------  ----------  ----------  --------------------------------------------------------------------------  ----------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------
good           1547  2018.09.14  뉴시스      (사)하늘문화세계평화광복, 한국서 지구촌 평화 논의                           【인천=뉴시스】이민지 인턴기자 = UN 공보국(DPI) 및 경제사회이사회(ECOSOC) 산하 NGO (사)하늘문화…                                                /main/ranking/read.nhn?rankingType=popular_like&oid=003&aid=0008807602
good           1169  2018.09.14  조선일보    “정권 눈치 보면 안 된다. 옷 벗어도 후회 없다" 1인시위 청년경찰 홍성환       "옷 벗어도 후회는 없습니다. 조직의 누가 되더라도 할 말은 해야 겠습니다."서울 동대문경찰서 용신지구대 소속 홍성환(29) 경감은 14일 조선일보 디…   /main/ranking/read.nhn?rankingType=popular_like&oid=023&aid=0003398875
good           1109  2018.09.14  주간조선    文에게 누가 등을 돌렸나                                                     중도·보수 / 50~60대 / 자영업자 / 저소득층홍영림 조선일보 여론조사전문기자 불과 3~4개월 전까지 문재인 대통령의 지지율에 대한 관심은 고공행진…    /main/ranking/read.nhn?rankingType=popular_like&oid=053&aid=0000025236
good            896  2018.09.14  연합뉴스    문대통령, 하늘길로 평양 방문…정상회담 주요일정 생중계(종합)                 춘추관장, 남북실무협의 결과브리핑 "서해직항로 이용"…18∼20일 방북기간 재확인"16일에는 선발대 육로로 파견…방북인원 200명보다 조금 더 늘어"(…      /main/ranking/read.nhn?rankingType=popular_like&oid=001&aid=0010344022
good            847  2018.09.14  JTBC        쌍용차 119명 전원, 9년 만에 회사로…"시민사회에 감사"                        [앵커]쌍용자동차 해고 노동자 119명 전원이 9년 만에 다시 회사로 돌아가기로 했습니다. 쌍용차 노사는 오늘(14일) 오전 해고 노동자들을 내년 상반기…  /main/ranking/read.nhn?rankingType=popular_like&oid=437&aid=0000191528
good            841  2018.09.14  JTBC        평양 2박3일 어디어디 들를까…문 대통령 동선 짚어보니                         [앵커]우리 대통령이 평양을 찾는 것은 2007년 이후 11년 만입니다.문 대통령이 2박 3일간, 평양의 어느 곳을 들르게 될지 주요 동선을 김태영 기자가 …  /main/ranking/read.nhn?rankingType=popular_like&oid=437&aid=0000191523
good            784  2018.09.14  JTBC        "안 잡히면 추가조치"…집값 잡기 '더 강력한 한 방'은?                         [앵커]그렇다면 이번 9·13 대책, 또 앞으로 나오게 될 대책들로 부동산 시장이 안정을 찾을 수 있을 지 취재기자와 좀 더 이야기 나눠보겠습니다. 경…    /main/ranking/read.nhn?rankingType=popular_like&oid=437&aid=0000191529
good            751  2018.09.14  조선일보    "경찰이 불법과 타협"… 엘리트 간부가 1인 시위                                홍성환 경감, 경찰청 앞서 폭력시위 손배소 포기 지도부에 항의13일 오전 6시 30분쯤 서울 서대문구 미근동 경찰청 정문 앞에 한 남성이 섰다. 남색 경…  /main/ranking/read.nhn?rankingType=popular_like&oid=023&aid=0003398697
good            736  2018.09.14  SBS 뉴스    세부 일정 17일 발표할 듯…남북 정상 평양 첫 만남 주목                        <앵커>청와대 취재기자 연결해서 궁금한 점 물어보겠습니다.정유미 기자, 오늘(14일) 구체적인 일정까지는 나오지 않았는데 이 부분은 아직 합의가 안 …  /main/ranking/read.nhn?rankingType=popular_like&oid=055&aid=0000674702
